User,org:resource,concept:name,Cumulative net worth (EUR),time:timestamp,case:Spend area text,case:Company,case:Document Type,case:Sub spend area text,case:Purchasing Document,case:Purch. Doc. Category name,case:Vendor,case:Item Type,case:Item Category,case:Spend classification text,case:Source,case:Name,case:GR-Based Inv. Verif.,case:Item,case:concept:name,case:Goods Receipt
batch_00,batch_00,SRM: In Transfer to Execution Syst.,557.0,2018-01-03 09:49:00+00:00,Marketing,companyID_0000,EC Purchase order,Marketing Support Services,2000000001,Purchase order,vendorID_0001,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0001,True,00001,2000000001_00001,True
batch_00,batch_00,SRM: Change was Transmitted,557.0,2018-01-03 09:49:00+00:00,Marketing,companyID_0000,EC Purchase order,Marketing Support Services,2000000001,Purchase order,vendorID_0001,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0001,True,00001,2000000001_00001,True
user_000,user_000,Create Purchase Order Item,557.0,2018-01-03 09:49:00+00:00,Marketing,companyID_0000,EC Purchase order,Marketing Support Services,2000000001,Purchase order,vendorID_0001,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0001,True,00001,2000000001_00001,True
NONE,NONE,Vendor creates invoice,557.0,2018-01-10 22:59:00+00:00,Marketing,companyID_0000,EC Purchase order,Marketing Support Services,2000000001,Purchase order,vendorID_0001,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0001,True,00001,2000000001_00001,True
user_000,user_000,Record Goods Receipt,557.0,2018-01-16 12:09:00+00:00,Marketing,companyID_0000,EC Purchase order,Marketing Support Services,2000000001,Purchase order,vendorID_0001,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0001,True,00001,2000000001_00001,True
NONE,NONE,Record Service Entry Sheet,557.0,2018-01-16 12:09:00+00:00,Marketing,companyID_0000,EC Purchase order,Marketing Support Services,2000000001,Purchase order,vendorID_0001,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0001,True,00001,2000000001_00001,True
user_004,user_004,Record Invoice Receipt,557.0,2018-01-16 14:44:00+00:00,Marketing,companyID_0000,EC Purchase order,Marketing Support Services,2000000001,Purchase order,vendorID_0001,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0001,True,00001,2000000001_00001,True
user_005,user_005,Clear Invoice,557.0,2018-03-08 12:21:00+00:00,Marketing,companyID_0000,EC Purchase order,Marketing Support Services,2000000001,Purchase order,vendorID_0001,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0001,True,00001,2000000001_00001,True
user_003,user_003,SRM: In Transfer to Execution Syst.,557.0,2019-01-17 10:58:00+00:00,Marketing,companyID_0000,EC Purchase order,Marketing Support Services,2000000001,Purchase order,vendorID_0001,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0001,True,00001,2000000001_00001,True
user_003,user_003,SRM: Transfer Failed (E.Sys.),557.0,2019-01-17 10:58:00+00:00,Marketing,companyID_0000,EC Purchase order,Marketing Support Services,2000000001,Purchase order,vendorID_0001,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0001,True,00001,2000000001_00001,True
batch_00,batch_00,SRM: Created,76210.0,2018-01-04 13:17:00+00:00,Marketing,companyID_0000,EC Purchase order,Digital Marketing,2000000002,Purchase order,vendorID_0002,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0002,True,00001,2000000002_00001,True
batch_00,batch_00,SRM: Complete,76210.0,2018-01-04 14:17:00+00:00,Marketing,companyID_0000,EC Purchase order,Digital Marketing,2000000002,Purchase order,vendorID_0002,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0002,True,00001,2000000002_00001,True
batch_00,batch_00,SRM: Awaiting Approval,76210.0,2018-01-04 14:17:00+00:00,Marketing,companyID_0000,EC Purchase order,Digital Marketing,2000000002,Purchase order,vendorID_0002,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0002,True,00001,2000000002_00001,True
batch_00,batch_00,SRM: Document Completed,76210.0,2018-01-04 14:17:00+00:00,Marketing,companyID_0000,EC Purchase order,Digital Marketing,2000000002,Purchase order,vendorID_0002,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0002,True,00001,2000000002_00001,True
batch_00,batch_00,SRM: Ordered,76210.0,2018-01-04 14:17:00+00:00,Marketing,companyID_0000,EC Purchase order,Digital Marketing,2000000002,Purchase order,vendorID_0002,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0002,True,00001,2000000002_00001,True
batch_00,batch_00,SRM: In Transfer to Execution Syst.,76210.0,2018-01-04 14:17:00+00:00,Marketing,companyID_0000,EC Purchase order,Digital Marketing,2000000002,Purchase order,vendorID_0002,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0002,True,00001,2000000002_00001,True
batch_00,batch_00,SRM: Change was Transmitted,76210.0,2018-01-04 14:17:00+00:00,Marketing,companyID_0000,EC Purchase order,Digital Marketing,2000000002,Purchase order,vendorID_0002,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0002,True,00001,2000000002_00001,True
user_000,user_000,Create Purchase Order Item,76210.0,2018-01-04 14:17:00+00:00,Marketing,companyID_0000,EC Purchase order,Digital Marketing,2000000002,Purchase order,vendorID_0002,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0002,True,00001,2000000002_00001,True
user_000,user_000,Record Goods Receipt,76210.0,2018-02-06 14:53:00+00:00,Marketing,companyID_0000,EC Purchase order,Digital Marketing,2000000002,Purchase order,vendorID_0002,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0002,True,00001,2000000002_00001,True
NONE,NONE,Record Service Entry Sheet,76210.0,2018-02-06 14:53:00+00:00,Marketing,companyID_0000,EC Purchase order,Digital Marketing,2000000002,Purchase order,vendorID_0002,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0002,True,00001,2000000002_00001,True
NONE,NONE,Vendor creates invoice,76210.0,2018-02-06 22:59:00+00:00,Marketing,companyID_0000,EC Purchase order,Digital Marketing,2000000002,Purchase order,vendorID_0002,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0002,True,00001,2000000002_00001,True
user_000,user_000,Cancel Goods Receipt,76210.0,2018-02-08 10:19:00+00:00,Marketing,companyID_0000,EC Purchase order,Digital Marketing,2000000002,Purchase order,vendorID_0002,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0002,True,00001,2000000002_00001,True
user_000,user_000,Record Goods Receipt,76210.0,2018-08-16 10:20:00+00:00,Marketing,companyID_0000,EC Purchase order,Digital Marketing,2000000002,Purchase order,vendorID_0002,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0002,True,00001,2000000002_00001,True
NONE,NONE,Record Service Entry Sheet,76210.0,2018-08-16 10:20:00+00:00,Marketing,companyID_0000,EC Purchase order,Digital Marketing,2000000002,Purchase order,vendorID_0002,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0002,True,00001,2000000002_00001,True
batch_00,batch_00,Record Invoice Receipt,76210.0,2018-08-16 10:41:00+00:00,Marketing,companyID_0000,EC Purchase order,Digital Marketing,2000000002,Purchase order,vendorID_0002,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0002,True,00001,2000000002_00001,True
user_002,user_002,Clear Invoice,76210.0,2018-08-16 13:03:00+00:00,Marketing,companyID_0000,EC Purchase order,Digital Marketing,2000000002,Purchase order,vendorID_0002,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0002,True,00001,2000000002_00001,True
user_003,user_003,SRM: In Transfer to Execution Syst.,76210.0,2019-01-17 10:59:00+00:00,Marketing,companyID_0000,EC Purchase order,Digital Marketing,2000000002,Purchase order,vendorID_0002,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0002,True,00001,2000000002_00001,True
user_003,user_003,SRM: Transfer Failed (E.Sys.),76210.0,2019-01-17 10:59:00+00:00,Marketing,companyID_0000,EC Purchase order,Digital Marketing,2000000002,Purchase order,vendorID_0002,Service,"3-way match, invoice after GR",NPR,sourceSystemID_0000,vendor_0002,True,00001,2000000002_00001,True
batch_00,batch_00,SRM: Created,28.0,2018-01-08 06:21:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00001,2000000003_00001,True
batch_00,batch_00,SRM: Complete,28.0,2018-01-08 07:21:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00001,2000000003_00001,True
batch_00,batch_00,SRM: Awaiting Approval,28.0,2018-01-08 07:21:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00001,2000000003_00001,True
batch_00,batch_00,SRM: Document Completed,28.0,2018-01-08 07:21:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00001,2000000003_00001,True
batch_00,batch_00,SRM: In Transfer to Execution Syst.,28.0,2018-01-08 07:21:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00001,2000000003_00001,True
batch_00,batch_00,SRM: Ordered,28.0,2018-01-08 07:21:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00001,2000000003_00001,True
batch_00,batch_00,SRM: Change was Transmitted,28.0,2018-01-08 07:21:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00001,2000000003_00001,True
user_000,user_000,Create Purchase Order Item,28.0,2018-01-08 07:21:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00001,2000000003_00001,True
NONE,NONE,Vendor creates invoice,28.0,2018-01-08 22:59:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00001,2000000003_00001,True
user_000,user_000,Record Goods Receipt,28.0,2018-01-12 13:14:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00001,2000000003_00001,True
user_001,user_001,Record Invoice Receipt,28.0,2018-02-12 15:58:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00001,2000000003_00001,True
user_005,user_005,Clear Invoice,28.0,2018-03-08 12:21:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00001,2000000003_00001,True
batch_00,batch_00,SRM: Created,37.0,2018-01-08 06:21:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00002,2000000003_00002,True
batch_00,batch_00,SRM: Complete,37.0,2018-01-08 07:21:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00002,2000000003_00002,True
batch_00,batch_00,SRM: Awaiting Approval,37.0,2018-01-08 07:21:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00002,2000000003_00002,True
batch_00,batch_00,SRM: Document Completed,37.0,2018-01-08 07:21:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00002,2000000003_00002,True
batch_00,batch_00,SRM: In Transfer to Execution Syst.,37.0,2018-01-08 07:21:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00002,2000000003_00002,True
batch_00,batch_00,SRM: Ordered,37.0,2018-01-08 07:21:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00002,2000000003_00002,True
batch_00,batch_00,SRM: Change was Transmitted,37.0,2018-01-08 07:21:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00002,2000000003_00002,True
user_000,user_000,Create Purchase Order Item,37.0,2018-01-08 07:21:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00002,2000000003_00002,True
NONE,NONE,Vendor creates invoice,37.0,2018-01-08 22:59:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00002,2000000003_00002,True
user_000,user_000,Record Goods Receipt,37.0,2018-01-12 13:14:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00002,2000000003_00002,True
user_001,user_001,Record Invoice Receipt,37.0,2018-02-12 15:58:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00002,2000000003_00002,True
user_005,user_005,Clear Invoice,37.0,2018-03-08 12:21:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00002,2000000003_00002,True
batch_00,batch_00,SRM: Created,44.0,2018-01-08 06:21:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00003,2000000003_00003,True
batch_00,batch_00,SRM: Complete,44.0,2018-01-08 07:21:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00003,2000000003_00003,True
batch_00,batch_00,SRM: Awaiting Approval,44.0,2018-01-08 07:21:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00003,2000000003_00003,True
batch_00,batch_00,SRM: Document Completed,44.0,2018-01-08 07:21:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00003,2000000003_00003,True
batch_00,batch_00,SRM: In Transfer to Execution Syst.,44.0,2018-01-08 07:21:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00003,2000000003_00003,True
batch_00,batch_00,SRM: Ordered,44.0,2018-01-08 07:21:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00003,2000000003_00003,True
batch_00,batch_00,SRM: Change was Transmitted,44.0,2018-01-08 07:21:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00003,2000000003_00003,True
user_000,user_000,Create Purchase Order Item,44.0,2018-01-08 07:21:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00003,2000000003_00003,True
NONE,NONE,Vendor creates invoice,44.0,2018-01-08 22:59:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00003,2000000003_00003,True
user_000,user_000,Record Goods Receipt,44.0,2018-01-12 13:14:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00003,2000000003_00003,True
user_001,user_001,Record Invoice Receipt,44.0,2018-02-12 15:58:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00003,2000000003_00003,True
user_005,user_005,Clear Invoice,44.0,2018-03-08 12:21:00+00:00,Enterprise Services,companyID_0000,EC Purchase order,Office Supplies,2000000003,Purchase order,vendorID_0003,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0003,False,00003,2000000003_00003,True
batch_00,batch_00,SRM: Created,166.0,2018-01-08 06:21:00+00:00,CAPEX & SOCS,companyID_0000,EC Purchase order,Facility Management,2000000004,Purchase order,vendorID_0000,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0000,False,00001,2000000004_00001,True
batch_00,batch_00,SRM: Complete,166.0,2018-01-08 07:21:00+00:00,CAPEX & SOCS,companyID_0000,EC Purchase order,Facility Management,2000000004,Purchase order,vendorID_0000,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0000,False,00001,2000000004_00001,True
batch_00,batch_00,SRM: Awaiting Approval,166.0,2018-01-08 07:21:00+00:00,CAPEX & SOCS,companyID_0000,EC Purchase order,Facility Management,2000000004,Purchase order,vendorID_0000,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0000,False,00001,2000000004_00001,True
batch_00,batch_00,SRM: Document Completed,166.0,2018-01-08 07:21:00+00:00,CAPEX & SOCS,companyID_0000,EC Purchase order,Facility Management,2000000004,Purchase order,vendorID_0000,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0000,False,00001,2000000004_00001,True
batch_00,batch_00,SRM: In Transfer to Execution Syst.,166.0,2018-01-08 07:21:00+00:00,CAPEX & SOCS,companyID_0000,EC Purchase order,Facility Management,2000000004,Purchase order,vendorID_0000,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0000,False,00001,2000000004_00001,True
batch_00,batch_00,SRM: Ordered,166.0,2018-01-08 07:21:00+00:00,CAPEX & SOCS,companyID_0000,EC Purchase order,Facility Management,2000000004,Purchase order,vendorID_0000,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0000,False,00001,2000000004_00001,True
batch_00,batch_00,SRM: Change was Transmitted,166.0,2018-01-08 07:21:00+00:00,CAPEX & SOCS,companyID_0000,EC Purchase order,Facility Management,2000000004,Purchase order,vendorID_0000,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0000,False,00001,2000000004_00001,True
user_000,user_000,Create Purchase Order Item,166.0,2018-01-08 07:21:00+00:00,CAPEX & SOCS,companyID_0000,EC Purchase order,Facility Management,2000000004,Purchase order,vendorID_0000,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0000,False,00001,2000000004_00001,True
NONE,NONE,Vendor creates invoice,166.0,2018-01-08 22:59:00+00:00,CAPEX & SOCS,companyID_0000,EC Purchase order,Facility Management,2000000004,Purchase order,vendorID_0000,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0000,False,00001,2000000004_00001,True
user_000,user_000,Record Goods Receipt,166.0,2018-01-12 13:13:00+00:00,CAPEX & SOCS,companyID_0000,EC Purchase order,Facility Management,2000000004,Purchase order,vendorID_0000,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0000,False,00001,2000000004_00001,True
batch_00,batch_00,Record Invoice Receipt,166.0,2018-03-05 15:30:00+00:00,CAPEX & SOCS,companyID_0000,EC Purchase order,Facility Management,2000000004,Purchase order,vendorID_0000,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0000,False,00001,2000000004_00001,True
user_002,user_002,Clear Invoice,166.0,2018-03-29 13:06:00+00:00,CAPEX & SOCS,companyID_0000,EC Purchase order,Facility Management,2000000004,Purchase order,vendorID_0000,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0000,False,00001,2000000004_00001,True
batch_00,batch_00,SRM: Created,433.0,2018-01-08 09:08:00+00:00,Workforce Services,companyID_0000,EC Purchase order,HR Services,2000000005,Purchase order,vendorID_0004,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0004,False,00001,2000000005_00001,True
batch_00,batch_00,SRM: Complete,433.0,2018-01-08 10:08:00+00:00,Workforce Services,companyID_0000,EC Purchase order,HR Services,2000000005,Purchase order,vendorID_0004,Standard,"3-way match, invoice before GR",NPR,sourceSystemID_0000,vendor_0004,False,00001,2000000005_00001,True
